Gender_Male,Age,Previous Purchases,Purchase Amount (PEN),Item Purchased_Belt,Item Purchased_Dress,Shipping Type_Store Pickup,Discount Applied_Yes,Promo Code Used_Yes,CLV_Predicho,Probabilidad_CLV_Alto
True,0.7115384615384616,0.7192982456140351,0.6584022928510865,False,False,False,True,True,1,0.9224
True,0.019230769230769273,0.21052631578947367,0.011013294937045469,False,False,False,True,True,0,0.060759604
True,0.6153846153846154,0.8421052631578947,0.5791792277982252,False,False,False,True,True,1,0.91842115
True,0.05769230769230771,0.17543859649122806,0.11967158657740792,False,False,False,True,True,0,0.060759604
True,0.5192307692307693,0.7543859649122806,0.4537833984705717,False,False,False,True,True,1,0.78523916
True,0.5384615384615385,0.5964912280701755,0.47097862823233916,False,False,False,True,True,0,0.09427511
True,0.8653846153846155,1.0,0.8443521078197663,False,False,False,True,True,1,0.9224
True,0.17307692307692313,0.22807017543859648,0.1890591605232042,False,False,False,True,True,0,0.060759604
True,0.15384615384615385,0.38596491228070173,0.11656779042974996,False,False,False,True,True,0,0.060759604
True,0.7500000000000001,0.736842105263158,0.6948408565677066,False,False,False,True,True,1,0.9224
True,0.6730769230769232,0.6140350877192982,0.5810899455034888,False,False,True,True,True,1,0.9014625
True,0.23076923076923084,0.40350877192982454,0.18551317997534938,False,False,True,True,True,0,0.060759604
True,0.826923076923077,0.9473684210526316,0.7501804092138851,False,False,False,True,True,1,0.9224
True,0.9038461538461539,0.8421052631578947,0.7226067906014301,False,True,False,True,True,1,0.9224
True,0.8846153846153847,0.7719298245614035,0.7138331662362652,False,False,False,True,True,1,0.9224
True,0.8846153846153847,0.894736842105263,0.7658093550707751,False,False,True,True,True,1,0.9224
True,0.13461538461538464,0.2982456140350877,0.0750821574169746,False,False,False,True,True,0,0.060759604
True,0.6730769230769232,0.7894736842105263,0.6158559963253448,False,True,False,True,True,1,0.9224
True,0.6538461538461539,0.8070175438596492,0.5440190150083634,False,False,False,True,True,1,0.9224
True,0.9230769230769232,0.9298245614035088,0.762197787969444,False,False,False,True,True,1,0.9224
True,0.05769230769230771,0.42105263157894735,0.11710632552208133,False,False,False,True,True,0,0.060759604
True,0.25,0.42105263157894735,0.21343496023261369,False,False,True,True,True,0,0.060759604
True,0.730769230769231,0.7543859649122806,0.656409735088551,False,False,True,True,True,1,0.9224
True,0.25,0.2631578947368421,0.15983409591278175,False,False,False,True,True,0,0.060759604
True,0.0,0.19298245614035087,0.0,False,False,True,True,True,0,0.060759604
True,0.0,0.17543859649122806,0.004958870805747216,False,False,False,True,True,0,0.060759604
True,0.3846153846153847,0.5964912280701755,0.29243395489027413,False,False,False,True,True,0,0.062801346
True,0.730769230769231,0.8245614035087718,0.6701866789568572,False,False,False,True,True,1,0.9218805
True,0.6923076923076924,0.6491228070175439,0.5921498820676563,False,False,False,True,True,1,0.9158578
True,0.25,0.42105263157894735,0.21048807524001203,False,True,True,True,True,0,0.060759604
True,0.7500000000000001,0.8596491228070176,0.6436856272464775,False,False,False,True,True,1,0.9224
True,0.28846153846153855,0.5614035087719298,0.34072480948467454,False,True,True,True,True,0,0.060759604
True,0.34615384615384615,0.5614035087719298,0.30889752155713746,False,False,False,True,True,0,0.060759604
True,0.6923076923076924,0.8245614035087718,0.5717161526694599,False,False,True,True,True,1,0.9224
True,0.34615384615384615,0.4912280701754385,0.34627336137119114,False,False,False,True,True,0,0.060759604
True,0.6923076923076924,0.7894736842105263,0.5644231919675873,False,False,False,True,True,1,0.9224
True,0.326923076923077,0.5789473684210527,0.30164381943071783,False,False,False,True,True,0,0.060759604
True,0.326923076923077,0.3508771929824561,0.2046980252693824,False,False,True,True,True,0,0.060759604
True,0.21153846153846156,0.3508771929824561,0.1297619812112242,False,True,False,True,True,0,0.060759604
True,1.0,0.9298245614035088,0.9029145984803023,False,False,False,True,True,1,0.9224
True,0.980769230769231,1.0,0.9099329427963727,False,False,False,True,True,1,0.9224
True,0.9423076923076924,1.0,0.8501914309935091,False,False,False,True,True,1,0.9224
True,0.03846153846153849,0.19298245614035087,0.029218855434483285,False,False,False,True,True,0,0.060759604
True,0.13461538461538464,0.10526315789473684,0.10690042236597963,False,False,True,True,True,0,0.060759604
True,0.40384615384615385,0.4912280701754385,0.29498606729537225,False,False,False,True,True,0,0.060759604
True,0.6153846153846154,0.7719298245614035,0.5180427340485109,False,False,False,True,True,1,0.9178645
True,0.7500000000000001,0.8421052631578947,0.649992162295212,False,False,True,True,True,1,0.9224
True,0.7115384615384616,0.8070175438596492,0.6834557219208864,False,False,False,True,True,1,0.9224
True,0.46153846153846156,0.5438596491228069,0.4280295914628297,False,False,True,True,True,0,0.060759604
True,0.9615384615384616,0.8421052631578947,0.7809068646999917,False,False,False,True,True,1,0.9224
True,0.5961538461538463,0.7192982456140351,0.5475177667760959,False,False,True,True,True,1,0.9110737
True,0.7884615384615384,0.7543859649122806,0.6877589588559404,False,False,False,True,True,1,0.9224
True,0.46153846153846156,0.7543859649122806,0.38240563458638,False,False,False,True,True,0,0.2776853
True,0.21153846153846156,0.42105263157894735,0.2164848637092366,False,False,False,True,True,0,0.060759604
True,0.5576923076923077,0.5964912280701755,0.5447319220998471,False,False,False,True,True,0,0.29436472
True,0.42307692307692313,0.4912280701754385,0.41991242690167285,False,False,False,True,True,0,0.060759604
True,0.4423076923076924,0.5438596491228069,0.35795560560852024,False,False,True,True,True,0,0.060759604
True,0.05769230769230771,0.22807017543859648,0.0377599350520261,False,False,True,True,True,0,0.060759604
True,0.980769230769231,1.0,0.8917286454495278,False,False,False,True,True,1,0.9224
True,0.8653846153846155,0.894736842105263,0.8173647278448178,True,False,False,True,True,1,0.9224
True,0.6153846153846154,0.631578947368421,0.5288020509189446,False,False,False,True,True,1,0.725885
True,0.7115384615384616,0.9298245614035088,0.6278963318901789,False,False,True,True,True,1,0.9224
True,0.23076923076923084,0.38596491228070173,0.15687448217774777,False,False,False,True,True,0,0.060759604
True,0.28846153846153855,0.5087719298245614,0.2044401955154218,False,False,False,True,True,0,0.060759604
True,0.9038461538461539,0.8596491228070176,0.8444658290839272,False,False,False,True,True,1,0.9224
True,0.9038461538461539,0.9473684210526316,0.8687729473249599,False,False,False,True,True,1,0.9224
True,0.25,0.43859649122807015,0.22030918321535967,False,False,False,True,True,0,0.060759604
True,0.5192307692307693,0.456140350877193,0.5091150161329431,False,False,True,True,True,0,0.08029396
True,0.7500000000000001,0.9649122807017545,0.6867525236507156,False,False,False,True,True,1,0.9224
True,0.576923076923077,0.7719298245614035,0.48699435065738594,True,False,False,True,True,1,0.9030019
True,0.07692307692307698,0.22807017543859648,0.08493442274441337,True,False,False,True,True,0,0.060759604
True,0.34615384615384615,0.38596491228070173,0.37825990879904836,False,True,False,True,True,0,0.060759604
True,0.0,0.24561403508771928,0.0,False,True,True,True,True,0,0.060759604
True,0.576923076923077,0.6666666666666667,0.5857833465886735,False,False,False,True,True,1,0.8565248
True,0.5961538461538463,0.7017543859649122,0.4159118595592187,False,False,False,True,True,1,0.8245195
True,0.8846153846153847,0.9122807017543859,0.8276905243191621,False,False,False,True,True,1,0.9224
True,0.6153846153846154,0.736842105263158,0.5541153645701458,False,False,False,True,True,1,0.918332
True,0.07692307692307698,0.40350877192982454,0.055410653537655105,False,True,False,True,True,0,0.060759604
True,0.6153846153846154,0.736842105263158,0.5543260941476248,False,False,False,True,True,1,0.9000386
True,0.3846153846153847,0.42105263157894735,0.2550342779877247,False,False,False,True,True,0,0.060759604
True,0.019230769230769273,0.3508771929824561,0.007373912680086858,False,False,True,True,True,0,0.060759604
True,0.9423076923076924,1.0,0.858495257482055,False,False,False,True,True,1,0.9224
True,0.019230769230769273,0.5087719298245614,0.08326476742766983,False,False,False,True,True,0,0.060759604
True,0.34615384615384615,0.38596491228070173,0.28633129706020577,False,True,False,True,True,0,0.060759604
True,0.6538461538461539,0.736842105263158,0.5484685933700686,False,False,False,True,True,1,0.9224
True,0.6730769230769232,0.5614035087719298,0.5793759584089553,False,False,False,True,True,1,0.77698153
True,0.11538461538461542,0.3508771929824561,0.14409065720571784,False,False,False,True,True,0,0.060759604
True,0.6538461538461539,0.6666666666666667,0.5993099018791795,False,False,False,True,True,1,0.9201554
True,0.28846153846153855,0.5964912280701755,0.23423414195980471,False,False,False,True,True,0,0.062801346
True,0.5576923076923077,0.5789473684210527,0.5215863522934336,False,False,False,True,True,0,0.08583018
True,0.13461538461538464,0.15789473684210525,0.12470138929327973,False,False,False,True,True,0,0.060759604
True,0.5000000000000001,0.5614035087719298,0.4903608324005895,False,False,False,True,True,0,0.06611735
True,0.826923076923077,0.6842105263157894,0.707977551814698,False,False,False,True,True,1,0.9191663
True,0.3653846153846154,0.5614035087719298,0.3120470580395047,False,False,False,True,True,0,0.060759604
True,0.7692307692307693,0.631578947368421,0.6702503665810415,False,False,False,True,True,1,0.908555
True,0.3653846153846154,0.4912280701754385,0.2612679758715928,False,False,False,True,True,0,0.060759604
True,0.2692307692307693,0.24561403508771928,0.25396120214606066,False,False,False,True,True,0,0.060759604
True,0.05769230769230771,0.22807017543859648,0.06325414320818534,False,False,True,True,True,0,0.060759604
True,0.03846153846153849,0.38596491228070173,0.03461759219042242,False,False,False,True,True,0,0.060759604
True,0.15384615384615385,0.3684210526315789,0.12706858690779496,False,False,False,True,True,0,0.060759604
True,0.8461538461538461,0.7894736842105263,0.6932826906254428,False,False,False,True,True,1,0.9224
True,0.17307692307692313,0.3333333333333333,0.13594522313895913,False,False,False,True,True,0,0.060759604
True,0.6346153846153847,0.7017543859649122,0.5520970725838367,False,False,False,True,True,1,0.91245884
True,0.6923076923076924,0.7894736842105263,0.5831354904380301,False,False,False,True,True,1,0.9224
True,0.7115384615384616,0.6491228070175439,0.6289859554966464,False,False,False,True,True,1,0.9158578
True,0.980769230769231,1.0,0.8949826574577229,False,False,False,True,True,1,0.9224
True,0.8846153846153847,0.6666666666666667,0.8752700469341,False,False,False,True,True,1,0.916841
True,0.1923076923076924,0.2982456140350877,0.17974957935655073,False,False,False,True,True,0,0.060759604
True,1.0,0.9473684210526316,0.9056277489667485,False,False,False,True,True,1,0.9224
True,0.7692307692307693,0.8596491228070176,0.6844516757921124,False,False,False,True,True,1,0.9224
True,0.730769230769231,0.7894736842105263,0.5676108508305334,False,False,False,True,True,1,0.9224
True,0.15384615384615385,0.21052631578947367,0.1363706452791731,True,False,False,True,True,0,0.060759604
True,0.3653846153846154,0.40350877192982454,0.3293880531212453,False,False,False,True,True,0,0.060759604
True,0.5000000000000001,0.6140350877192982,0.5571778266106007,False,False,False,True,True,0,0.1456069
True,1.0,0.9824561403508771,0.8855141518012116,False,False,True,True,True,1,0.9224
True,0.6730769230769232,0.6842105263157894,0.6152882345095906,False,False,False,True,True,1,0.9211695
